iused  iselected  id  name                    mid  mag_lim  mag_lim_err  Nsigma  mag_err_min  SNR_min  inoise  Bsky  D  t  Bdet  Nread  Rn  Npx  Npx_sig  #  itype  icalib  description
1      1          24  SLOAN.SDSS.r_total      -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          25  SLOAN.SDSS.i_total      -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          26  SLOAN.SDSS.z_total      -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          27  PS1.g_total             -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          28  PS1.r_total             -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          29  PS1.i_total             -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          30  PS1.z_total             -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          31  PS1.y_total             -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          32  WFPC2-PC.F300W_total    -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          33  WFPC2-PC.F450W_total    -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          34  ACS_WFC.F435W_total     -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          35  ACS_WFC.F606W_total     -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          36  ACS_WFC.F775W_total     -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          37  ACS_WFC.F814W_total     -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          38  ACS_WFC.F850LP_total    -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          39  WFC3_UVIS1.F225W_total  -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          40  WFC3_UVIS1.F275W_total  -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          41  WFC3_UVIS1.F336W_total  -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          42  WFC3_IR.F098M_total     -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          43  WFC3_IR.F105W_total     -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          44  WFC3_IR.F110W_total     -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          45  WFC3_IR.F125M_total     -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          46  WFC3_IR.F140M_total     -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          47  WFC3_IR.F160M_total     -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          48  VISTA.Y_total           -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          49  VISTA.J_total           -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          50  VISTA.H_total           -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          51  VISTA.Ks_total          -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          52  UFTI.Y_total            -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          53  UFTI.J_total            -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          54  UFTI.H_total            -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          55  UFTI.K_total            -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          56  WISE.W1_total           -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          57  WISE.W2_total           -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          58  WISE.W3_total           -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          59  WISE.W4_total           -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          60  IRAC.I1_total           -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          61  IRAC.I2_total           -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          62  IRAC.I3_total           -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          63  IRAC.I4_total           -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          64  MIPS.24mu_total         -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          65  Pacs.red_total          -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          66  Pacs.blue_total         -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          67  Pacs.green_total        -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          68  SPIRE.PSW_total         -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          69  SPIRE.PMW_total         -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
1      1          70  SPIRE.PLW_total         -1   99       0.1          5       0.02         1        0       0     0  0  0     0      0   0    0        #  1      0
